tournament_year,stage,player1_name,player2_name
2013,FINAL,Taylor P.,van Gerwen M.
2013,SEMI-FINALS,Taylor P.,van Barneveld R.
2013,SEMI-FINALS,van Gerwen M.,Wade J.
2013,QUARTER-FINALS,Lewis A.,van Gerwen M.
2013,QUARTER-FINALS,Newton W.,Wade J.
2013,QUARTER-FINALS,Taylor P.,Hamilton A.
2013,QUARTER-FINALS,Whitlock S.,van Barneveld R.
2013,1/8-FINALS,Lewis A.,Painter K.
2013,1/8-FINALS,Anderson G.,van Barneveld R.
2013,1/8-FINALS,van Gerwen M.,Lloyd C.
2013,1/8-FINALS,Wade J.,Van der Voort V.
2013,1/8-FINALS,Whitlock S.,Chisnall D.
2013,1/8-FINALS,Newton W.,Walsh M.
2013,1/8-FINALS,Taylor P.,Thornton R.
2013,1/8-FINALS,Hamilton A.,Jenkins T.
2013,1/16-FINALS,van Gerwen M.,Wright P.
2013,1/16-FINALS,Wade J.,Beaton S.
2013,1/16-FINALS,Winstanley D.,Van der Voort V.
2013,1/16-FINALS,Pipe J.,Walsh M.
2013,1/16-FINALS,Lewis A.,Ovens D.
2013,1/16-FINALS,Whitlock S.,Osborne C.
2013,1/16-FINALS,Newton W.,Rand S.
2013,1/16-FINALS,van Barneveld R.,Dolan B.
2013,1/16-FINALS,Webster M.,Lloyd C.
2013,1/16-FINALS,Painter K.,Baxter R.
2013,1/16-FINALS,Taylor P.,Hendriks J.
2013,1/16-FINALS,Nicholson P.,Thornton R.
2013,1/16-FINALS,Jenkins T.,Part J.
2013,1/16-FINALS,Anderson G.,Bowles J.
2013,1/16-FINALS,Chisnall D.,Gurney D.
2013,1/16-FINALS,Hamilton A.,Burnett R.
2013,1/32-FINALS,van Gerwen M.,Lim P.
2013,1/32-FINALS,Van der Voort V.,Kellett S.
2013,1/32-FINALS,Huybrechts K.,Rand S.
2013,FINAL,Lim P.,Latif Sapup M.
2013,1/32-FINALS,Walsh M.,Webster D.
2013,1/32-FINALS,Whitlock S.,Muramatsu H.
2013,1/32-FINALS,Lloyd C.,Young D.
2013,1/32-FINALS,Baxter R.,Priestley D.
2013,FINAL,Muramatsu H.,Dave H.
2013,1/32-FINALS,Pipe J.,Jenkins A.
2013,1/32-FINALS,Osborne C.,Ilagan L.
2013,1/32-FINALS,King M.,Winstanley D.
2013,1/32-FINALS,Newton W.,Haines J.
2013,FINAL,Ilagan L.,Lewis J.
2013,1/32-FINALS,Beaton S.,Anderson K.
2013,1/32-FINALS,Caven J.,Bowles J.
2013,1/32-FINALS,Wade J.,Hudson P.
2013,1/32-FINALS,Webster M.,White I.
2013,FINAL,Rodriguez C.,Bowles J.
2013,1/32-FINALS,Wright P.,Monk A.
2013,1/32-FINALS,Anderson G.,Haavisto J.
2013,1/32-FINALS,van Barneveld R.,Smith M.
2013,1/32-FINALS,Hamilton A.,Richardson J.
2013,FINAL,Komula J.,Haavisto J.
2013,1/32-FINALS,Dolan B.,Jones M.
2013,1/32-FINALS,Ovens D.,Hopp M.
2013,1/32-FINALS,Taylor P.,Mansell M.
2013,1/32-FINALS,Part J.,Cullen J.
2013,FINAL,Hopp M.,Charl P.
2013,1/32-FINALS,Chisnall D.,Tichowitsch S.
2013,1/32-FINALS,Smith A.,Gurney D.
2013,1/32-FINALS,Jenkins T.,Brown S.
2013,1/32-FINALS,Burnett R.,Hubbard J.
2013,FINAL,Gurney D.,Marijanovic R.
2013,1/32-FINALS,Jones W.,Hendriks J.
2013,1/32-FINALS,Painter K.,Chen N. L.
2013,1/32-FINALS,Lewis A.,Vos G.
2013,1/32-FINALS,Nicholson P.,Stompe C.
2013,FINAL,Welge A.,Chen N. L.
2013,1/32-FINALS,Thornton R.,Caris M.
