tournament_year,player1_name,player2_name,weight
Network 2,Dudbridge M.,Taylor P.,0
Network 2,Dudbridge M.,Burnett R.,0
Network 2,Taylor P.,Anderson B.,0
Network 2,Taylor P.,Painter K.,1
Network 2,Taylor P.,Priestley D.,1
Network 2,Taylor P.,Roy A.,0
Network 2,Taylor P.,Mardle W.,1
Network 2,Taylor P.,Warriner-Little A.,1
Network 2,Taylor P.,McGarry C.,0
Network 2,Taylor P.,Part J.,1
Network 2,Taylor P.,Smith D.,0
Network 2,Taylor P.,Brown S.,0
Network 2,Taylor P.,Williams P.,0
Network 2,Taylor P.,Justice N.,0
Network 2,Taylor P.,Manning M.,0
Network 2,Mardle W.,Dudbridge M.,0
Network 2,Mardle W.,Williams P.,0
Network 2,Mardle W.,Walsh M.,0
Network 2,Mardle W.,Whatley S.,0
Network 2,Mardle W.,Maish S.,0
Network 2,Mardle W.,Carver R.,0
Network 2,Anderson B.,Hamilton A.,0
Network 2,Anderson B.,Painter K.,0
Network 2,Anderson B.,Smith D.,0
Network 2,Anderson B.,Hedman A.,0
Network 2,Lloyd C.,Mardle W.,1
Network 2,Lloyd C.,Mason C.,1
Network 2,Lloyd C.,Verwey J.,0
Network 2,Lloyd C.,Evison P.,0
Network 2,Lloyd C.,Anderson B.,0
Network 2,Lloyd C.,Manley P.,0
Network 2,Lloyd C.,Burnett R.,0
Network 2,Ovens D.,Dudbridge M.,0
Network 2,Ovens D.,Holden M.,0
Network 2,Ovens D.,Roy A.,1
Network 2,Ovens D.,Smith D.,0
Network 2,Ovens D.,Burnett R.,0
Network 2,Ovens D.,Jenkins A.,0
Network 2,Painter K.,Jenkins A.,0
Network 2,Painter K.,Jones W.,0
Network 2,Painter K.,Dudbridge M.,0
Network 2,Painter K.,Williams P.,0
Network 2,Painter K.,Part J.,0
Network 2,Painter K.,Burnett R.,0
Network 2,Painter K.,Harding R.,0
Network 2,Baxter R.,Anderson B.,0
Network 2,Baxter R.,Jenkins T.,0
Network 2,Baxter R.,Painter K.,2
Network 2,Baxter R.,Clarys E.,0
Network 2,Baxter R.,Manning M.,0
Network 2,Baxter R.,Manley P.,0
Network 2,Jenkins A.,Evison P.,0
Network 2,Jenkins A.,Anderson B.,0
Network 2,Jenkins A.,Mason C.,0
Network 2,Schenk J.,Hamilton A.,0
Network 2,Beaton S.,Hamilton A.,0
Network 2,Beaton S.,Dudbridge M.,0
Network 2,Beaton S.,Anderson B.,0
Network 2,Mason C.,Clark J.,0
Network 2,Mason C.,Part J.,0
Network 2,Part J.,Dudbridge M.,1
Network 2,Part J.,Convery G.,0
Network 2,Part J.,Lazarenko C.,0
Network 2,Part J.,Taylor P.,0
Network 2,Part J.,Beaton S.,0
Network 2,Part J.,Manning M.,0
Network 2,Part J.,Warriner-Little A.,0
Network 2,Part J.,Smith D.,0
Network 2,Part J.,Lloyd C.,0
Network 2,Part J.,Bunyard J.,0
Network 2,Scholten R.,Ovens D.,0
Network 2,Scholten R.,Harvey J.,0
Network 2,Scholten R.,Sams L.,0
Network 2,Scholten R.,Warriner-Little A.,0
Network 2,Scholten R.,Askew D.,0
Network 2,Scholten R.,Burgess S.,0
Network 2,Scholten R.,Lazarenko C.,1
Network 2,Scholten R.,Harrington R.,0
Network 2,Priestley D.,Sams L.,0
Network 2,Priestley D.,Buckle R.,0
Network 2,Priestley D.,Askew D.,0
Network 2,Priestley D.,Chapman M.,0
Network 2,Priestley D.,Deller K.,0
Network 2,Priestley D.,Taylor P.,0
Network 2,Priestley D.,Burgess S.,0
Network 2,Priestley D.,Harvey J.,0
Network 2,Priestley D.,Roncero B.,0
