tournament_year,player1_name,player2_name,weight
Network 2_extract,Dudbridge M.,Taylor P.,1
Network 2_extract,Dudbridge M.,Burnett R.,1
Network 2_extract,Taylor P.,Anderson B.,1
Network 2_extract,Taylor P.,Painter K.,1
Network 2_extract,Taylor P.,Priestley D.,1
Network 2_extract,Taylor P.,Roy A.,1
Network 2_extract,Taylor P.,Mardle W.,1
Network 2_extract,Taylor P.,Warriner-Little A.,1
Network 2_extract,Taylor P.,McGarry C.,1
Network 2_extract,Taylor P.,Part J.,1
Network 2_extract,Taylor P.,Smith D.,1
Network 2_extract,Taylor P.,Brown S.,1
Network 2_extract,Taylor P.,Williams P.,1
Network 2_extract,Taylor P.,Justice N.,1
Network 2_extract,Taylor P.,Manning M.,1
Network 2_extract,Burnett R.,Whatley S.,1
Network 2_extract,Burnett R.,Whitlock S.,1
Network 2_extract,Burnett R.,Deller K.,1
Network 2_extract,Burnett R.,Evison P.,1
Network 2_extract,Burnett R.,Brown S.,1
Network 2_extract,Anderson B.,Hamilton A.,1
Network 2_extract,Anderson B.,Painter K.,1
Network 2_extract,Anderson B.,Smith D.,1
Network 2_extract,Anderson B.,Hedman A.,1
Network 2_extract,Painter K.,Jenkins A.,1
Network 2_extract,Painter K.,Jones W.,1
Network 2_extract,Painter K.,Dudbridge M.,1
Network 2_extract,Painter K.,Williams P.,1
Network 2_extract,Painter K.,Part J.,1
Network 2_extract,Painter K.,Burnett R.,1
Network 2_extract,Painter K.,Harding R.,1
Network 2_extract,Priestley D.,Sams L.,1
Network 2_extract,Priestley D.,Buckle R.,1
Network 2_extract,Priestley D.,Askew D.,1
Network 2_extract,Priestley D.,Chapman M.,1
Network 2_extract,Priestley D.,Deller K.,1
Network 2_extract,Priestley D.,Taylor P.,1
Network 2_extract,Priestley D.,Burgess S.,1
Network 2_extract,Priestley D.,Harvey J.,1
Network 2_extract,Priestley D.,Roncero B.,1
Network 2_extract,Roy A.,Lloyd C.,1
Network 2_extract,Roy A.,Askew D.,1
Network 2_extract,Roy A.,Raw S.,1
Network 2_extract,Roy A.,Harding R.,1
Network 2_extract,Mardle W.,Dudbridge M.,1
Network 2_extract,Mardle W.,Williams P.,1
Network 2_extract,Mardle W.,Walsh M.,1
Network 2_extract,Mardle W.,Whatley S.,1
Network 2_extract,Mardle W.,Maish S.,1
Network 2_extract,Mardle W.,Carver R.,1
Network 2_extract,Warriner-Little A.,Williams P.,1
Network 2_extract,Warriner-Little A.,Roy A.,1
Network 2_extract,Warriner-Little A.,Lowe J.,1
Network 2_extract,Warriner-Little A.,Harrington R.,1
Network 2_extract,Warriner-Little A.,Lloyd C.,1
Network 2_extract,Warriner-Little A.,Harding R.,1
Network 2_extract,Warriner-Little A.,Taylor P.,1
Network 2_extract,Warriner-Little A.,Lim P.,1
Network 2_extract,McGarry C.,Holden M.,1
Network 2_extract,McGarry C.,Orvis R.,1
Network 2_extract,Part J.,Dudbridge M.,1
Network 2_extract,Part J.,Convery G.,1
Network 2_extract,Part J.,Lazarenko C.,1
Network 2_extract,Part J.,Taylor P.,1
