tournament_year,stage,player1_name,player2_name
2011,FINAL,Lewis A.,Anderson G.
2011,SEMI-FINALS,Jenkins T.,Anderson G.
2011,SEMI-FINALS,Webster M.,Lewis A.
2011,QUARTER-FINALS,Taylor P.,Webster M.
2011,QUARTER-FINALS,Anderson G.,van Barneveld R.
2011,QUARTER-FINALS,Lewis A.,Van der Voort V.
2011,QUARTER-FINALS,Newton W.,Jenkins T.
2011,1/8-FINALS,Suljovic M.,Newton W.
2011,1/8-FINALS,van Barneveld R.,Osborne C.
2011,1/8-FINALS,Whitlock S.,Van der Voort V.
2011,1/8-FINALS,Jenkins T.,Walsh M.
2011,1/8-FINALS,Smith A.,Anderson G.
2011,1/8-FINALS,Lewis A.,Thornton R.
2011,1/8-FINALS,Taylor P.,Wright P.
2011,1/8-FINALS,Webster M.,Hylton M.
2011,1/16-FINALS,van Barneveld R.,McDine K.
2011,1/16-FINALS,King M.,Smith A.
2011,1/16-FINALS,Anderson G.,Priestley D.
2011,1/16-FINALS,Osborne C.,Caven J.
2011,1/16-FINALS,Wade J.,Suljovic M.
2011,1/16-FINALS,Whitlock S.,Ovens D.
2011,1/16-FINALS,Newton W.,Dolan B.
2011,1/16-FINALS,Jenkins T.,Brown S.
2011,1/16-FINALS,Jones W.,Van der Voort V.
2011,1/16-FINALS,Walsh M.,Tabern A.
2011,1/16-FINALS,Taylor P.,Laursen P.
2011,1/16-FINALS,Lewis A.,Dudbridge M.
2011,1/16-FINALS,Lloyd C.,Hylton M.
2011,1/16-FINALS,Hamilton A.,Thornton R.
2011,1/16-FINALS,Nicholson P.,Wright P.
2011,1/16-FINALS,Baxter R.,Webster M.
2011,1/32-FINALS,King M.,Caris M.
2011,1/32-FINALS,Priestley D.,Roith B.
2011,1/32-FINALS,Walsh M.,Pipe J.
2011,FINAL,Caris M.,Burger D.
2011,1/32-FINALS,Smith A.,Tichowitsch S.
2011,1/32-FINALS,Caven J.,Petersen D.
2011,1/32-FINALS,van Barneveld R.,Hine S.
2011,1/32-FINALS,Bates B.,McDine K.
2011,FINAL,Petersen D.,Madhoo N.
2011,1/32-FINALS,Osborne C.,Thompson C.
2011,1/32-FINALS,Van der Voort V.,Ridd P.
2011,1/32-FINALS,Klaasen J.,Brown S.
2011,1/32-FINALS,Jenkins T.,Cullen J.
2011,FINAL,Mansell M.,Ridd P.
2011,1/32-FINALS,van Gerwen M.,Suljovic M.
2011,1/32-FINALS,Ovens D.,Artut J.
2011,1/32-FINALS,Wade J.,Alcinas T.
2011,1/32-FINALS,Painter K.,Dolan B.
2011,FINAL,Artut J.,MacKenzie S.
2011,1/32-FINALS,Tabern A.,Burnett R.
2011,1/32-FINALS,Part J.,Laursen P.
2011,1/32-FINALS,Newton W.,Young D.
2011,1/32-FINALS,Thornton R.,Heydon N.
2011,FINAL,Laursen P.,Krcmar B.
2011,1/32-FINALS,Jones W.,Shepherd K.
2011,1/32-FINALS,Anderson G.,Hashimoto M.
2011,1/32-FINALS,Whitlock S.,Evans S.
2011,1/32-FINALS,Dudbridge M.,Roy A.
2011,FINAL,Padgett M.,Hashimoto M.
2011,1/32-FINALS,Hamilton A.,Smith D.
2011,1/32-FINALS,Baxter R.,Scholten R.
2011,1/32-FINALS,Lewis A.,Eccles T.
2011,1/32-FINALS,Lloyd C.,Welge A.
2011,FINAL,Scholten R.,Viinikka V.
2011,1/32-FINALS,Stompe C.,Wright P.
2011,1/32-FINALS,Taylor P.,Mawson G.
2011,1/32-FINALS,Webster M.,Maish S.
2011,1/32-FINALS,Beaton S.,Hylton M.
2011,FINAL,Mawson G.,Gionzon J.
2011,1/32-FINALS,Nicholson P.,Farmer S.
2010,FINAL,Taylor P.,Whitlock S.
2010,3RD PLACE,Webster M.,van Barneveld R.
2010,SEMI-FINALS,Taylor P.,Webster M.
2010,SEMI-FINALS,van Barneveld R.,Whitlock S.
2010,QUARTER-FINALS,Taylor P.,Lewis A.
2010,QUARTER-FINALS,van Barneveld R.,Baxter R.
2010,QUARTER-FINALS,Whitlock S.,Wade J.
2010,QUARTER-FINALS,Stompe C.,Webster M.
2010,1/8-FINALS,van Barneveld R.,Painter K.
2010,1/8-FINALS,Wade J.,Hamilton A.
2010,1/8-FINALS,Baxter R.,Lloyd C.
2010,1/8-FINALS,Stompe C.,Dudbridge M.
2010,1/8-FINALS,Jenkins T.,Whitlock S.
2010,1/8-FINALS,Shepherd K.,Webster M.
2010,1/8-FINALS,Lewis A.,McDine K.
2010,1/8-FINALS,Taylor P.,Thornton R.
2010,1/16-FINALS,Wade J.,van Gerwen M.
2010,1/16-FINALS,Whitlock S.,Jones W.
2010,1/16-FINALS,Jenkins T.,Young D.
2010,1/16-FINALS,Hamilton A.,Beaton S.
2010,1/16-FINALS,Baxter R.,Anderson G.
2010,1/16-FINALS,van Barneveld R.,Dolan B.
2010,1/16-FINALS,Webster M.,Manley P.
2010,1/16-FINALS,Painter K.,Van der Voort V.
2010,1/16-FINALS,Part J.,Shepherd K.
2010,1/16-FINALS,Lloyd C.,Ovens D.
2010,1/16-FINALS,Thornton R.,Artut J.
2010,1/16-FINALS,Taylor P.,Hine S.
2010,1/16-FINALS,Tabern A.,Dudbridge M.
2010,1/16-FINALS,Lewis A.,Newton W.
2010,1/16-FINALS,McDine K.,Bates B.
2010,1/16-FINALS,King M.,Stompe C.
2010,1/32-FINALS,Wade J.,Brown S.
2010,1/32-FINALS,van Gerwen M.,Wright P.
2010,"",Caris M.,Ruiz F.
2010,1/32-FINALS,Jones W.,Roy A.
2010,1/32-FINALS,Ovens D.,Van der Rassel J.
2010,1/32-FINALS,Osborne C.,Whitlock S.
2010,1/32-FINALS,Beaton S.,Rodriguez C.
2010,"",Seyler T.,Yongsheng S.
2010,1/32-FINALS,Smith A.,Young D.
2010,1/32-FINALS,Baxter R.,Muramatsu H.
2010,1/32-FINALS,Jenkins T.,Nicholson P.
2010,1/32-FINALS,Part J.,Greebe T.
2010,"",Muramatsu H.,Kciuk K.
2010,1/32-FINALS,Van der Voort V.,Duo D.
2010,1/32-FINALS,Hamilton A.,Kijamet O.
2010,1/32-FINALS,van Barneveld R.,Parry W.
2010,1/32-FINALS,Caven J.,Anderson G.
2010,"",Hazel P.,Kijamet O.
2010,1/32-FINALS,Painter K.,Suljovic M.
2010,1/32-FINALS,Tabern A.,MacNeil K.
2010,1/32-FINALS,Walsh M.,Webster M.
2010,1/32-FINALS,Dudbridge M.,Welge A.
2010,1/32-FINALS,Eccles T.,Dolan B.
2010,"",MacNeil K.,Madhoo N.
2010,1/32-FINALS,Manley P.,Jenkins A.
2010,1/32-FINALS,Klaasen J.,Bates B.
2010,"",O'Neill A.,Francis L.
2010,1/32-FINALS,King M.,Clark M.
2010,1/32-FINALS,Newton W.,Komula J.
2010,1/32-FINALS,Shepherd K.,Burnett S.
2010,1/32-FINALS,Stompe C.,Maish S.
2010,1/32-FINALS,Scholten R.,Hine S.
2010,"",Komula J.,Konchikov R.
2010,1/32-FINALS,Thornton R.,Perez C.
2010,1/32-FINALS,Taylor P.,Monk C.
2010,1/32-FINALS,Priestley D.,McDine K.
2010,"",Laursen P.,Perez C.
2010,1/32-FINALS,Mardle W.,Artut J.
2009,FINAL,Taylor P.,van Barneveld R.
2009,SEMI-FINALS,Taylor P.,King M.
2009,SEMI-FINALS,van Barneveld R.,Wade J.
2009,QUARTER-FINALS,Nicholson P.,Wade J.
2009,QUARTER-FINALS,van Barneveld R.,Klaasen J.
2009,QUARTER-FINALS,King M.,Bates B.
2009,QUARTER-FINALS,Taylor P.,Stompe C.
2009,1/8-FINALS,Hamilton A.,Klaasen J.
2009,1/8-FINALS,Mardle W.,Stompe C.
2009,1/8-FINALS,Nicholson P.,Priestley D.
2009,1/8-FINALS,Smith D.,King M.
2009,1/8-FINALS,van Barneveld R.,Baxter R.
2009,1/8-FINALS,Wade J.,Van der Voort V.
2009,1/8-FINALS,Bates B.,Dudbridge M.
2009,1/16-FINALS,Lewis A.,Nicholson P.
2009,1/16-FINALS,Osborne C.,Van der Voort V.
2009,1/8-FINALS,Taylor P.,Painter K.
2009,1/16-FINALS,Wade J.,Eccles T.
2009,1/16-FINALS,Baxter R.,Ovens D.
2009,1/16-FINALS,Davis B.,Bates B.
2009,1/16-FINALS,Hamilton A.,Ayres T.
2009,1/16-FINALS,King M.,Walsh M.
2009,1/16-FINALS,Klaasen J.,Van der Rassel J.
2009,1/16-FINALS,van Barneveld R.,Newton W.
2009,1/16-FINALS,Mardle W.,Thornton R.
2009,1/16-FINALS,Priestley D.,Magowan J.
2009,1/16-FINALS,Rodriguez C.,Painter K.
2009,1/16-FINALS,Smith D.,McDine K.
2009,1/16-FINALS,Suljovic M.,Dudbridge M.
2009,1/16-FINALS,Tabern A.,Stompe C.
2009,1/16-FINALS,Taylor P.,van Gerwen M.
2009,1/32-FINALS,Baxter R.,Kantele M.
2009,1/32-FINALS,Eccles T.,Van Eijden R.
2009,1/32-FINALS,Gray A.,Nicholson P.
2009,1/32-FINALS,Osborne C.,Losper C.
2009,1/32-FINALS,Shepherd K.,Van der Rassel J.
2009,1/32-FINALS,Smith A.,Ayres T.
2009,1/32-FINALS,Van der Voort V.,Bezzeg N.
2009,1/32-FINALS,Wade J.,Dolan B.
2009,1/32-FINALS,King M.,Yongsheng S.
2009,1/32-FINALS,Lewis A.,Stewart R.
2009,1/32-FINALS,Lloyd C.,Klaasen J.
2009,1/32-FINALS,Mason C.,Magowan J.
2009,1/32-FINALS,Dudbridge M.,Fullwell N.
2009,1/32-FINALS,Hamilton A.,Barnard M.
2009,1/32-FINALS,Manley P.,Suljovic M.
2009,1/32-FINALS,Mardle W.,Fatum D.
2009,1/32-FINALS,Newton W.,Laursen P.
2009,1/32-FINALS,Ovens D.,Maish S.
2009,1/32-FINALS,van Barneveld R.,Stephenson M.
2009,1/32-FINALS,Walsh M.,Caven J.
2009,1/32-FINALS,Bates B.,McBrearty F.
2009,1/32-FINALS,Jenkins T.,Smith D.
2009,1/32-FINALS,Painter K.,Clark M.
2009,1/32-FINALS,Priestley D.,French W.
2009,1/32-FINALS,Roy A.,McDine K.
2009,1/32-FINALS,Tabern A.,Beaton S.
2009,1/32-FINALS,Taylor P.,Grubb S.
2009,1/32-FINALS,van Gerwen M.,Young D.
2009,1/32-FINALS,Jenkins A.,Stompe C.
2009,1/32-FINALS,Jones W.,Thornton R.
2009,1/32-FINALS,Part J.,Davis B.
2009,1/32-FINALS,Scholten R.,Rodriguez C.
2009,FINAL,Fatum D.,O'Connor S.
2009,FINAL,French W.,Nagakawa A.
2009,FINAL,Kantele M.,Ilagan L.
2009,FINAL,Losper C.,Fitzgerald S.
2009,FINAL,Schnier H.,Yongsheng S.
2009,FINAL,Van Eijden R.,Dobromyslova A.
2008,FINAL,Shepherd K.,Part J.
2008,SEMI-FINALS,Mardle W.,Shepherd K.
