tournament_year,player1_name,player2_name,weight
Network 4,van Gerwen M.,Anderson G.,2
Network 4,van Gerwen M.,van Barneveld R.,1
Network 4,van Gerwen M.,Gurney D.,0
Network 4,van Gerwen M.,Webster D.,1
Network 4,van Gerwen M.,Reyes C.,0
Network 4,van Gerwen M.,Viljanen K.,0
Network 4,van Gerwen M.,Eidams R.,0
Network 4,van Gerwen M.,Thornton R.,0
Network 4,van Gerwen M.,Jenkins T.,0
Network 4,van Gerwen M.,Stein S.,0
Network 4,van Gerwen M.,Cullen J.,0
Network 4,van Gerwen M.,Lewis A.,0
Network 4,van Gerwen M.,Webster M.,0
Network 4,van Gerwen M.,McDine K.,0
Network 4,van Gerwen M.,Lerchbacher Z.,0
Network 4,van Gerwen M.,Wade J.,0
Network 4,van Gerwen M.,Lloyd C.,0
Network 4,van Gerwen M.,Wright P.,0
Network 4,van Gerwen M.,Lim P.,0
Network 4,Anderson G.,Wright P.,0
Network 4,Anderson G.,Chisnall D.,0
Network 4,Anderson G.,van de Pas B.,0
Network 4,Anderson G.,Gilding A.,0
Network 4,Anderson G.,Frost M.,0
Network 4,Anderson G.,Klaasen J.,1
Network 4,Anderson G.,Wade J.,0
Network 4,Anderson G.,Van der Voort V.,0
Network 4,Anderson G.,Gurney D.,0
Network 4,Anderson G.,Boulton A.,0
Network 4,Anderson G.,Taylor P.,0
Network 4,Anderson G.,Reyes C.,0
Network 4,Anderson G.,Kirchner S.,0
Network 4,Anderson G.,Dudbridge M.,0
Network 4,Anderson G.,van Barneveld R.,0
Network 4,Anderson G.,Bowles J.,0
Network 4,Anderson G.,Haavisto J.,0
Network 4,Anderson G.,Lloyd C.,0
Network 4,Anderson G.,Petersen D.,0
Network 4,Anderson G.,Artut J.,0
Network 4,van Barneveld R.,Taylor P.,0
Network 4,van Barneveld R.,Norris A.,0
Network 4,van Barneveld R.,Green R.,0
Network 4,van Barneveld R.,Lewis A.,0
Network 4,van Barneveld R.,Smith M.,1
Network 4,van Barneveld R.,Bunting S.,0
Network 4,van Barneveld R.,van Duijvenbode D.,0
Network 4,van Barneveld R.,Caven J.,1
Network 4,van Barneveld R.,Rodriguez R.-J.,0
Network 4,van Barneveld R.,Lewis J.,0
Network 4,van Barneveld R.,Dolan B.,0
Network 4,van Barneveld R.,Richardson J.,0
Network 4,Wright P.,White I.,0
Network 4,Wright P.,Lewis J.,0
Network 4,Wright P.,Hendriks J.,0
Network 4,Wright P.,Chisnall D.,0
Network 4,Wright P.,Huybrechts R.,1
Network 4,Wright P.,Brown K.,0
Network 4,Wright P.,Anderson G.,0
Network 4,Wright P.,Hamilton A.,0
Network 4,Wright P.,Price G.,0
Network 4,Wright P.,van Gerwen M.,0
Network 4,Wright P.,Whitlock S.,0
Network 4,Wright P.,Newton W.,0
Network 4,Wright P.,Laursen P.,0
Network 4,Wright P.,Cullen J.,0
Network 4,Wright P.,Monk A.,0
Network 4,Wright P.,Klaasen J.,0
Network 4,Taylor P.,Huybrechts K.,1
Network 4,Taylor P.,Painter K.,1
Network 4,Taylor P.,Platt D.,0
Network 4,Taylor P.,Klaasen J.,0
Network 4,Taylor P.,Ono K.,0
Network 4,Taylor P.,van Barneveld R.,1
Network 4,Taylor P.,Van der Voort V.,0
Network 4,Taylor P.,Webster M.,0
Network 4,Taylor P.,Artut J.,0
Network 4,Taylor P.,Smith M.,0
Network 4,Taylor P.,Szabo R.,0
Network 4,Taylor P.,van Gerwen M.,0
Network 4,Taylor P.,Hamilton A.,0
Network 4,Taylor P.,Thornton R.,0
Network 4,Taylor P.,Hendriks J.,0
Network 4,Taylor P.,Mansell M.,0
Network 4,Taylor P.,Chisnall D.,0
Network 4,Taylor P.,Muramatsu H.,0
Network 4,Gurney D.,Wattimena J.,0
Network 4,Gurney D.,Marijanovic R.,0
Network 4,Chisnall D.,Klaasen J.,0
Network 4,Chisnall D.,Dobey C.,0
Network 4,Chisnall D.,Rodriguez R.-J.,1
Network 4,Chisnall D.,Kist C.,0
Network 4,Chisnall D.,van de Pas B.,0
Network 4,Chisnall D.,de Vreede R.,0
Network 4,Chisnall D.,Henderson J.,0
Network 4,Chisnall D.,Gurney D.,0
Network 4,Chisnall D.,Tichowitsch S.,0
Network 4,Chisnall D.,Hamilton A.,0
Network 4,Wade J.,Wright P.,0
Network 4,Wade J.,Smith M.,0
Network 4,Wade J.,Beaton S.,1
Network 4,Wade J.,Huybrechts R.,0
Network 4,Wade J.,Caven J.,0
Network 4,Wade J.,Newton W.,0
Network 4,Wade J.,Michael J.,0
Network 4,Wade J.,Bunting S.,0
Network 4,Wade J.,Lewis J.,0
Network 4,Wade J.,Lewis A.,0
